code,description
01,"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях."
01.1,Выращивание однолетних культур.
01.11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур."
01.11.1,Выращивание зерновых культур
01.11.11,Выращивание пшеницы.
01.11.12,Выращивание ячменя.
01.11.13,Выращивание ржи                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
01.11.14,Выращивание кукурузы.
01.11.15,Выращивание овса.
01.11.16,Выращивание гречихи.
01.11.19,Выращивание прочих зерновых культур.
01.11.2,Выращивание зернобобовых культур.
01.11.3,Выращивание семян масличных культур.
01.11.31,Выращивание семян подсолнечника.
01.11.32,Выращивание семян рапса.
01.11.33,Выращивание семян соевых бобов.
01.11.39,Выращивание семян прочих масличных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
01.12,Выращивание риса.
01.13,"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей"
01.13.1,Выращивание овощей.
01.13.11,Выращивание овощей открытого грунта.
01.13.12,Выращивание овощей защищенного грунта.
01.13.2,Выращивание бахчевых культур.
01.13.3,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина.
01.13.31,Выращивание картофеля.
01.13.39,Выращивание прочих столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина.
01.13.4,"Выращивание семян овощных культур, за исключением семян сахарной свеклы."
01.13.5,Выращивание сахарной свеклы и семян сахарной свеклы.
01.13.51,Выращивание сахарной свеклы.
01.13.52,Выращивание семян сахарной свеклы.
01.13.6,Выращивание грибов и трюфелей
01.13.9,"Выращивание овощей, не включенных в другие группировки."
01.14,Выращивание сахарного тростника.
01.15,Выращивание табака и махорки.
01.16,Выращивание волокнистых прядильных культур.
01.16.1,Выращивание хлопчатника.
01.16.2,Выращивание льна.
01.16.3,Выращивание обыкновенной конопли.
01.16.9,Выращивание прочих текстильных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
01.19,Выращивание прочих однолетних культур.
01.19.1,Выращивание однолетних кормовых культур.
01.19.2,Цветоводство.
01.19.21,Выращивание цветов в открытом и защищенном грунте.
01.19.22,Выращивание семян цветов.
01.19.3,Выращивание семян свеклы (кроме семян сахарной свеклы) и семян кормовых культур                                                                                                                                                                                                                                                                                                                                                                                                                                     
01.19.9,"Выращивание прочих однолетних культур, не включенных в другие группировки."
01.2,Выращивание многолетних культур.
01.21,Выращивание винограда.
01.22,Выращивание тропических и субтропических культур.
01.23,Выращивание цитрусовых культур.
01.24,Выращивание семечковых и косточковых культур.
01.25,"Выращивание прочих плодовых деревьев, кустарников и орехов."
01.25.1,Выращивание прочих плодовых и ягодных культур
01.25.2,Выращивание семян плодовых и ягодных культур.
01.25.3,Выращивание орехоплодных культур.
01.26,Выращивание плодов масличных культур.
01.27,Выращивание культур для производства напитков.
01.27.1,Выращивание чая.
01.27.9,Выращивание прочих культур для производства напитков                                                                                                                                                                                                                                                                                                                                                                                                                                                                
01.28,"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур."
01.28.1,Выращивание пряностей.
01.28.2,Выращивание хмеля.
01.28.3,"Выращивание растений, используемых в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей."
01.29,Выращивание прочих многолетних культур.
01.3,Выращивание рассады.
01.30,Выращивание рассады
01.4,Животноводство.
01.41,"Разведение молочного крупного рогатого скота, производство сырого молока."
01.41.1,Разведение молочного крупного рогатого скота.
01.41.11,"Разведение молочного крупного рогатого скота, кроме племенного."
01.41.12,Разведение племенного молочного крупного рогатого скота.
01.41.2,"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)."
01.41.21,Производство сырого коровьего молока.
01.41.29,"Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)."
01.42,"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы."
01.42.1,"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.."
01.42.11,"Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо."
01.42.12,"Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.."
01.42.2,"Производство бычьей спермы, а также спермы буйволов, яков и др.."
01.43,Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных.
01.43.1,"Разведение лошадей, ослов, мулов, лошаков."
01.43.2,Производство сырого кобыльего молока.
01.43.3,Производство спермы жеребцов и ослов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
01.44,Разведение верблюдов и прочих животных семейства верблюжьих.
01.45,Разведение овец и коз
01.45.1,Разведение овец и коз.
01.45.2,Производство сырого овечьего и козьего молока.
01.45.3,Производство сырой (немытой) шерсти и волоса козы.
01.45.4,Разведение племенных овец и коз.
01.46,Разведение свиней.
01.46.1,Выращивание и разведение свиней.
01.46.11,Выращивание свиней на мясо.
01.46.12,Разведение племенного поголовья свиней                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
01.46.2,Производство спермы хряков                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
01.47,Разведение сельскохозяйственной птицы.
01.47.1,"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок."
01.47.11,Выращивание сельскохозяйственной птицы на мясо.
01.47.12,Разведение племенной сельскохозяйственной птицы.
